Proveedor,Grasa,Solido
001344,99,2
609033,85,63
782380,96,14
336639,98,34
226866,73,87
737518,8,30
210541,72,45
066014,74,78
105177,66,70
179816,44,58
075798,77,60
095349,16,65
775770,55,35
370622,79,100
296363,32,19
898902,34,77
935470,84,80
121165,45,41
232682,42,28
329213,74,53
901530,97,56
835011,19,11
315484,78,19
609921,16,64
896169,84,70
164140,9,8
990741,32,26
331226,67,40
050200,40,21
730665,65,83
036061,40,34
795279,73,69
918852,4,75
186251,80,45
854701,41,9
312648,57,37
292132,88,17
026863,38,28
332806,74,24
805611,65,96
629792,33,63
271957,91,40
191374,25,39
045143,49,21
515433,95,15
450327,6,78
202515,91,13
293075,6,13
500175,58,94
975718,72,62
995982,76,31
860596,79,95
142071,2,20
251975,11,4
674277,40,98
000346,9,72
527313,94,78
260076,10,20
934197,78,3
703430,62,37
058924,39,23
873472,40,9
043665,42,25
373666,35,28
731421,26,86
456704,65,13
941510,6,20
088292,90,29
458375,34,14
725117,59,99
860143,33,61
550045,43,50
320949,40,45
690115,81,29
872612,32,22
306755,100,99
897497,32,65
801954,2,35
351307,64,89
848601,80,33
553525,42,98
542123,49,6
621461,68,52
098586,77,51
878013,55,44
666299,59,76
603502,8,39
834074,70,34
711221,11,35
403468,49,78
120921,64,70
664146,66,59
364005,94,24
402550,26,33
486761,78,93
710988,3,81
428934,57,86
391370,2,70
699289,15,79
424177,83,17
568943,8,40
676028,82,11
460575,71,92
065074,84,89
865810,42,55
611734,85,16
080445,40,68
870586,43,81
977158,5,10
963784,12,54
387335,26,79
934193,6,89
092701,33,89
995464,41,9
270305,52,79
466688,48,100
034735,96,88
806332,72,77
711268,85,21
166546,80,60
089933,100,22
358511,65,75
010509,31,87
128099,73,89
866552,30,76
228406,12,6
530838,82,54
574837,63,54
236901,39,77
267091,87,86
544487,64,19
958645,31,62
409711,29,73
587430,40,35
999008,36,68
597823,14,41
572156,91,79
438173,33,85
625202,86,9
154242,19,11
117587,2,99
663466,78,9
919587,38,99
706571,83,28
905464,83,8
636392,93,9
730221,74,76
056426,74,11
111326,91,18
947917,60,27
954153,65,100
612670,78,25
301709,12,73
527338,29,12
203895,86,43
939152,23,94
266508,67,65
419392,19,9
314334,17,82
365473,9,61
567787,7,68
689831,79,19
830879,7,19
683778,47,23
104814,4,89
581280,39,18
492087,91,19
120346,9,65
951866,34,56
854807,2,13
647461,77,44
605218,31,3
460079,57,13
090932,30,96
440829,72,90
908839,79,63
009040,98,92
255007,64,88
169152,94,56
497700,77,21
602626,11,27
339127,59,5
359082,92,39
621891,7,72
691875,22,82
730844,91,41
561298,36,15
893200,53,100
948777,24,40
412852,11,15
708741,40,16
